"Rank","Player","Team","Positions","FG%","FT%","3PM","REB","AST","STL","BLK","PTS","Overall"
"1","Kevin Durant","GSW","SF,PF","2.25","5.68","1.59","1.88","2.90","0.86","1.81","3.55","20.52"
"2","James Harden","HOU","PG,SG","-0.95","4.11","4.82","0.98","3.74","3.12","0.49","3.68","20.00"
"3","Anthony Davis","NOR","PF,C","2.15","1.47","0.32","3.48","1.53","2.41","5.16","3.00","19.52"
"4","Karl-Anthony Towns","MIN","C","1.41","1.71","1.52","3.68","1.01","1.04","4.04","2.52","16.93"
"5","Paul George","OKC","SG,SF","-0.37","2.05","3.48","1.93","1.48","3.96","0.69","3.10","16.32"
"6","Joel Embiid","PHI","PF,C","1.18","1.79","0.61","3.93","1.18","0.20","3.84","3.09","15.82"
"7","Damian Lillard","POR","PG","-0.46","4.38","3.27","0.78","2.73","1.16","0.49","3.26","15.62"
"8","Giannis Antetokounmpo","MIL","SF,PF","4.91","-2.67","-0.45","3.30","2.57","1.69","2.92","2.73","15.00"
"9","Nikola Jokic","DEN","PF,C","1.23","1.45","0.50","2.53","3.47","2.05","0.89","1.68","13.80"
"10","Nikola Vucevic","ORL","PF,C","2.94","0.27","0.61","3.27","1.26","1.22","2.07","2.08","13.71"
"11","Jrue Holiday","NOR","PG,SG","0.51","0.30","1.38","0.75","4.40","2.71","1.22","2.34","13.60"
"12","Stephen Curry","GSW","PG,SG","1.06","2.69","3.98","0.41","1.50","1.22","-0.03","2.32","13.14"
"13","Kyrie Irving","BOS","PG,SG","1.15","1.32","2.33","0.66","2.71","2.23","0.23","2.22","12.85"
"14","Bradley Beal","WAS","SG","0.44","0.61","2.40","0.90","2.10","1.81","1.35","2.81","12.42"
"15","Kemba Walker","CHA","PG","-0.86","1.55","3.41","0.56","2.65","1.81","0.43","2.86","12.40"
"16","Kawhi Leonard","TOR","SG,SF","1.56","2.61","0.96","1.44","0.57","1.99","0.30","2.44","11.86"
"17","DeAndre Ayton","PHO","C,PF","4.76","0.09","-0.87","3.23","0.53","0.74","1.61","1.73","11.82"
"18","DeMar DeRozan","SAS","SG,SF","0.85","2.50","-0.62","1.33","3.09","1.34","0.43","2.64","11.56"
"19","Rudy Gobert","UTH","C","4.51","-3.25","-0.87","3.68","0.33","1.04","4.57","1.38","11.39"
"20","LeBron James","LAL","SF,PF","2.57","-2.69","1.52","1.79","2.98","1.57","0.82","2.80","11.36"
"21","Tobias Harris","LAC","SF,PF","1.78","2.25","1.73","1.97","0.44","0.68","0.17","2.25","11.27"
"22","Marc Gasol","MEM","C","-0.57","0.10","1.20","2.21","1.84","1.99","2.79","1.47","11.04"
"23","Danilo Gallinari","LAC","SF,PF","0.02","4.36","2.19","1.29","0.58","0.50","-0.03","1.97","10.88"
"24","Clint Capela","HOU","PF,C","5.12","-2.94","-0.87","3.63","-0.03","0.26","3.91","1.62","10.71"
"25","LaMarcus Aldridge","SAS","PF,C","1.75","1.53","-0.80","2.40","0.57","0.20","2.14","2.18","9.96"
"26","Jusuf Nurkic","POR","C","1.11","-0.31","-0.76","3.00","0.94","1.63","2.66","1.37","9.65"
"27","Pascal Siakam","TOR","PF","3.01","0.49","0.11","1.51","0.86","1.34","0.89","1.35","9.57"
"28","Mike Conley","MEM","PG","-1.74","2.01","1.90","0.26","2.77","1.87","0.30","2.06","9.44"
"29","Myles Turner","IND","PF,C","1.25","-0.70","0.08","1.60","0.19","-0.10","6.01","0.95","9.28"
"30","De'Aaron Fox","SAC","PG","0.46","-1.12","0.68","0.35","3.67","2.77","0.63","1.80","9.24"
"31","Blake Griffin","DET","PF,C","0.31","-0.79","1.98","1.98","2.00","0.44","0.36","2.56","8.84"
"32","Zach LaVine","CHI","PG,SG","-0.13","2.61","1.17","0.46","1.46","0.86","0.23","2.18","8.84"
"33","Robert Covington","MIN","SF,PF","-0.68","0.01","2.12","0.90","-0.13","3.36","2.33","0.89","8.82"
"34","DeAndre Jordan","DAL","C","2.94","-1.03","-0.87","4.29","0.39","0.50","1.87","0.70","8.80"
"35","Buddy Hield","SAC","SG","0.50","0.88","3.34","0.88","0.53","0.14","0.23","2.13","8.64"
"36","Klay Thompson","GSW","SG,SF","-0.78","0.59","2.61","0.64","0.42","1.69","1.02","2.37","8.56"
"37","Ben Simmons","PHI","PG,SF","3.34","-4.85","-0.87","2.40","3.86","1.93","1.22","1.53","8.55"
"38","Jimmy Butler","PHI","SG,SF","0.19","1.57","0.64","0.48","0.90","2.71","0.63","1.41","8.53"
"39","Devin Booker","PHO","PG,SG","-0.28","1.87","1.55","0.14","2.49","0.92","-0.36","2.12","8.45"
"40","Eric Bledsoe","MIL","PG,SG","1.12","-0.17","1.03","0.64","2.33","1.75","0.30","1.33","8.33"
"41","D'Angelo Russell","BKN","PG,SG","-1.70","0.44","2.40","0.46","3.07","1.63","0.03","1.90","8.23"
"42","Domantas Sabonis","IND","PF,C","3.79","-0.20","-0.69","2.42","0.75","0.38","0.56","1.18","8.20"
"43","Serge Ibaka","TOR","PF,C","2.10","0.45","0.08","1.59","-0.00","0.08","2.53","1.33","8.16"
"44","Kyle Lowry","TOR","PG","-0.59","0.87","1.38","0.32","3.78","1.39","0.17","0.76","8.08"
"45","Khris Middleton","MIL","SG,SF","-0.65","1.51","2.36","0.96","1.35","1.45","-0.56","1.57","8.00"
"46","Jaren Jackson Jr.","MEM","PF","1.50","0.22","0.22","0.77","-0.10","0.98","3.32","1.08","8.00"
"47","Enes Kanter","NYK","C","2.26","1.09","-0.62","3.13","0.36","-0.04","0.36","1.29","7.84"
"48","Luka Doncic","DAL","PG,SG","-0.82","-0.15","2.26","1.41","2.05","1.22","-0.10","1.95","7.82"
"49","Jayson Tatum","BOS","SF,PF","-0.49","1.20","1.41","1.41","0.19","1.39","1.02","1.49","7.64"
"50","Josh Richardson","MIA","PG,SG,SF","-1.89","1.61","2.43","0.39","1.26","1.51","0.49","1.72","7.54"
"51","TJ Warren","PHO","SF","1.27","0.81","1.41","0.34","-0.07","1.34","0.76","1.57","7.44"
"52","Julius Randle","NOR","PF,C","2.90","-1.77","-0.06","2.47","0.77","0.32","0.69","2.10","7.42"
"53","JaVale McGee","LAL","C","2.84","-0.85","-0.83","1.19","-0.43","0.38","4.50","0.56","7.36"
"54","John Wall","WAS","PG","-0.56","-1.45","0.92","0.15","3.55","1.87","1.15","1.71","7.34"
"55","Spencer Dinwiddie","BKN","PG","0.10","0.68","2.01","-0.00","2.44","0.32","-0.10","1.85","7.30"
"56","Russell Westbrook","OKC","PG","-1.59","-2.76","0.29","2.20","3.88","3.72","-0.23","1.58","7.09"
"57","JJ Redick","PHI","SG","-0.59","2.36","3.10","-0.11","0.90","-0.27","-0.23","1.91","7.06"
"58","Brook Lopez","MIL","C","-0.72","0.29","2.54","0.43","-0.25","0.08","3.78","0.88","7.03"
"59","Larry Nance Jr.","CLE","PF,C","1.30","-0.41","-0.41","1.81","1.04","2.35","0.95","0.37","7.00"
"60","Jarrett Allen","BKN","PF,C","2.28","-0.57","-0.73","2.11","0.03","0.20","2.79","0.79","6.91"
"61","Jamal Murray","DEN","PG,SG","-1.07","0.97","1.38","0.63","1.95","0.92","0.30","1.77","6.85"
"62","Malcolm Brogdon","MIL","PG,SG","1.42","1.78","1.17","0.56","0.93","0.20","-0.36","1.12","6.82"
"63","Justin Holiday","MEM","SG,SF","-1.98","0.74","2.54","0.67","0.47","2.89","0.69","0.79","6.81"
"64","Nemanja Bjelica","SAC","PF,SF","0.90","0.04","1.27","1.30","0.33","0.74","1.41","0.73","6.73"
"65","Kyle Kuzma","LAL","SF,PF","0.49","0.27","1.48","1.18","0.61","0.38","0.43","1.85","6.69"
"66","CJ McCollum","POR","PG,SG","-0.17","0.88","1.66","0.38","0.71","0.80","0.17","2.23","6.66"
"67","Andre Drummond","DET","PF,C","1.33","-5.55","-0.73","4.29","-0.14","2.11","3.65","1.52","6.48"
"68","Bojan Bogdanovic","IND","SG,SF","1.26","1.08","1.76","0.48","0.14","0.98","-0.75","1.51","6.46"
"69","Rudy Gay","SAS","SF,PF","1.37","0.71","0.47","1.19","0.44","0.68","0.63","0.90","6.38"
"70","Ricky Rubio","UTH","PG","-1.90","1.02","1.03","0.38","2.95","1.99","-0.16","0.98","6.28"
"71","Montrezl Harrell","LAC","PF,C","4.18","-3.96","-0.83","1.46","0.09","1.04","2.86","1.43","6.27"
"72","Kent Bazemore","ATL","SG,SF","-0.47","-0.15","1.03","0.37","0.60","2.53","1.35","1.00","6.25"
"73","Joe Ingles","UTH","SG,SF","-0.50","-1.02","1.90","0.53","2.05","2.65","-0.36","0.86","6.11"
"74","Marcus Morris","BOS","SF,PF","0.94","1.25","1.83","1.02","-0.08","0.08","-0.16","1.13","6.02"
"75","Wendell Carter Jr.","CHI","C","0.67","0.25","-0.69","1.65","0.27","0.26","2.86","0.67","5.92"
"76","Joe Harris","BKN","SG,SF","1.31","0.48","2.36","0.29","0.53","0.20","-0.36","1.08","5.89"
"77","Tim Hardaway Jr.","NYK","SG,SF","-2.60","2.32","2.54","0.19","0.77","0.98","-0.42","2.04","5.81"
"78","Lou Williams","LAC","PG,SG","-1.30","3.51","0.71","-0.11","1.72","0.20","-0.56","1.55","5.72"
"79","Derrick Rose","MIN","PG","0.85","0.94","0.85","-0.10","1.57","0.26","-0.16","1.47","5.68"
"80","Chris Paul","HOU","PG","-0.96","0.60","0.99","0.04","2.43","2.17","-0.23","0.65","5.68"
"81","Noah Vonleh","NYK","PF","0.08","-0.25","0.25","2.36","0.44","0.74","1.68","0.35","5.65"
"82","Aaron Gordon","ORL","SF,PF","-0.14","-1.05","1.06","1.64","1.12","0.68","1.02","1.24","5.57"
"83","Jeremy Lamb","CHA","SG,SF","-0.32","1.41","0.85","0.98","0.27","1.28","-0.16","1.24","5.54"
"84","Jerami Grant","OKC","SF,PF","1.45","-1.08","0.54","0.84","-0.33","0.86","2.33","0.91","5.52"
"85","Al Horford","BOS","PF,C","0.79","-0.24","0.47","0.80","0.83","0.26","2.07","0.44","5.42"
"86","Derrick Favors","UTH","PF,C","2.59","-1.95","-0.48","1.64","-0.24","0.62","2.47","0.72","5.37"
"87","Steven Adams","OKC","C","3.50","-4.87","-0.87","2.72","0.17","2.05","1.28","1.31","5.31"
"88","Victor Oladipo","IND","PG,SG","-0.77","-0.37","1.24","0.68","1.45","1.87","-0.03","1.23","5.29"
"89","Donovan Mitchell","UTH","PG,SG","-2.08","0.41","1.59","0.22","1.02","2.35","-0.10","1.87","5.28"
"90","Trevor Ariza","WAS","SG,SF","-2.08","0.65","1.76","0.90","1.13","2.35","-0.23","0.61","5.10"
"91","Trae Young","ATL","PG","-2.33","0.51","0.99","0.09","3.64","0.86","-0.03","1.37","5.10"
"92","Jeff Green","WAS","SF,PF","0.55","1.62","0.68","0.78","0.12","0.20","0.43","0.70","5.09"
"93","Darren Collison","IND","PG,SG","-0.18","0.11","0.40","0.09","2.44","2.11","-0.36","0.42","5.01"
"94","Danny Green","TOR","SG,SF","-0.62","0.32","2.01","0.60","-0.07","0.92","1.35","0.47","4.98"
"95","Cody Zeller","CHA","PF,C","1.52","0.76","-0.69","1.14","0.33","0.44","1.15","0.32","4.97"
"96","Al-Farouq Aminu","POR","SF,PF","-0.51","0.75","1.06","2.13","-0.27","1.10","0.17","0.51","4.94"
"97","Kyle Anderson","MEM","SG,SF,PF","1.41","-1.31","-0.59","1.23","0.93","1.87","1.15","0.21","4.90"
"98","Marcus Smart","BOS","PG,SG","-0.99","0.02","0.78","0.07","1.61","3.12","0.10","0.14","4.85"
"99","D.J. Augustin","ORL","PG","0.00","1.61","1.34","-0.20","2.05","0.08","-0.75","0.70","4.83"
"100","Lonzo Ball","LAL","PG","-1.24","-1.77","1.24","0.97","2.21","2.35","0.36","0.52","4.64"
"101","Jordan Clarkson","CLE","PG,SG","-0.22","0.97","1.45","0.24","0.52","0.38","-0.36","1.61","4.59"
"102","Reggie Jackson","DET","PG,SG","-1.60","1.65","1.66","-0.01","1.64","0.38","-0.36","1.23","4.59"
"103","Harrison Barnes","DAL","SF,PF","-0.91","0.95","2.36","0.41","-0.29","0.56","-0.10","1.58","4.57"
"104","Thaddeus Young","IND","SF,PF","1.61","-1.82","-0.41","1.16","0.12","2.47","0.56","0.88","4.56"
"105","Nicolas Batum","CHA","SG,SF","-0.03","0.26","0.85","0.86","1.16","0.74","0.23","0.32","4.40"
"106","Evan Fournier","ORL","SG,SF","-0.92","0.01","1.83","0.14","1.34","0.86","-0.23","1.28","4.31"
"107","Taj Gibson","MIN","PF,C","1.96","-0.71","-0.48","1.52","-0.07","0.86","0.56","0.64","4.29"
"108","Gordon Hayward","BOS","SG,SF","-0.86","1.29","0.68","0.68","1.10","0.98","-0.16","0.55","4.25"
"109","Dennis Schroder","OKC","PG","-1.72","0.74","0.82","0.43","1.78","1.10","-0.29","1.35","4.20"
"110","Shai Gilgeous-Alexander","LAC","PG","0.46","0.40","-0.13","0.09","0.91","1.22","0.69","0.56","4.19"
"111","Nerlens Noel","OKC","PF,C","1.18","-0.20","-0.87","0.71","-0.52","1.28","2.86","-0.24","4.18"
"112","Bryn Forbes","SAS","PG,SG","0.26","0.38","2.12","-0.02","0.63","0.38","-0.62","0.97","4.09"
"113","Dewayne Dedmon","ATL","C","0.12","0.46","0.22","1.20","-0.27","0.98","1.15","0.16","4.01"
"114","Nikola Mirotic","NOR","SF,PF","-0.16","0.81","1.34","1.28","-0.44","0.08","0.30","0.77","3.98"
"115","Richaun Holmes","PHO","PF,C","2.47","-0.54","-0.87","0.68","-0.44","0.32","2.14","0.19","3.94"
"116","Kelly Oubre Jr.","PHO","SF","-0.74","0.59","1.03","0.54","-0.43","0.86","1.15","0.92","3.92"
"117","Terrence Ross","ORL","SG,SF","-0.76","0.36","1.98","0.17","0.01","0.86","0.17","1.05","3.83"
"118","Draymond Green","GSW","PF,C","-0.55","0.01","-0.38","0.95","1.78","1.51","0.76","-0.27","3.82"
"119","Jonas Valanciunas","TOR","C","1.99","0.67","-0.55","1.13","-0.40","-0.33","0.76","0.56","3.82"
"120","Willie Cauley-Stein","SAC","PF,C","1.98","-3.63","-0.83","2.21","0.64","1.51","0.76","1.12","3.75"
"121","Mikal Bridges","PHO","SF","-0.76","0.37","0.96","0.12","0.09","2.23","0.43","0.26","3.69"
"122","Garrett Temple","MEM","SG,SF","-0.23","0.20","1.17","0.17","-0.08","1.57","0.30","0.58","3.68"
"123","Juan Hernangomez","DEN","SF,PF","0.47","0.38","1.17","0.96","-0.30","-0.04","0.36","0.42","3.43"
"124","Bam Adebayo","MIA","PF,C","1.13","-0.57","-0.83","1.51","0.38","0.44","1.22","0.16","3.42"
"125","Jae Crowder","UTH","SF,PF","-0.86","-0.24","2.01","0.77","0.06","0.50","0.23","0.94","3.42"
"126","Josh Hart","LAL","SG,SF","-0.68","-0.72","1.52","0.42","-0.03","1.45","0.95","0.50","3.41"
"127","Hassan Whiteside","MIA","C","1.39","-5.31","-0.80","3.08","-0.44","0.08","4.57","0.71","3.28"
"128","Cory Joseph","IND","PG,SG","-0.11","-0.41","0.22","0.38","1.46","1.75","-0.16","0.09","3.23"
"129","Marvin Williams","CHA","SF,PF","-0.74","-0.26","1.48","0.97","-0.24","0.68","0.89","0.42","3.21"
"130","Paul Millsap","DEN","PF,C","0.61","-0.91","-0.06","0.86","-0.00","1.04","1.15","0.51","3.20"
"131","Dario Saric","MIN","PF,C,SF","-0.77","1.15","1.03","1.22","0.12","0.14","-0.36","0.65","3.18"
"132","Otto Porter Jr.","WAS","SF,PF","0.50","-0.02","0.40","0.47","-0.02","1.34","0.23","0.28","3.17"
"133","Kelly Olynyk","MIA","PF,C","-0.15","0.44","1.03","0.53","0.27","0.50","0.10","0.40","3.12"
"134","Monte Morris","DEN","PG","0.00","0.10","0.61","-0.05","1.46","1.10","-0.62","0.43","3.03"
"135","Ryan Arcidiacono","CHI","PG,SG","-0.27","0.27","0.92","-0.03","1.34","1.39","-0.62","-0.01","2.99"
"136","Rodney Hood","CLE","SG,SF","-0.21","1.40","0.71","-0.16","0.20","0.74","-0.49","0.78","2.98"
"137","PJ Tucker","HOU","SF","-0.88","-0.58","1.55","1.34","-0.25","1.51","0.10","0.17","2.96"
"138","E'Twaun Moore","NOR","SG,SF","0.72","-0.23","0.99","-0.14","0.36","0.56","-0.29","0.93","2.90"
"139","Jeremy Lin","ATL","PG,SG","0.32","0.92","0.32","-0.19","0.94","0.56","-0.42","0.44","2.90"
"140","Markieff Morris","WAS","PF,C","-0.50","0.16","0.82","0.71","0.09","0.38","0.56","0.59","2.81"
"141","Kentavious Caldwell-Pope","LAL","SG,SF","-0.77","1.34","1.45","0.01","-0.25","0.80","-0.42","0.60","2.75"
"142","Fred VanVleet","TOR","PG","-1.09","0.14","1.10","-0.11","1.53","0.86","-0.29","0.44","2.57"
"143","Tomas Satoransky","WAS","PG,SG","0.42","0.41","-0.03","-0.07","1.07","0.92","-0.29","0.06","2.49"
"144","Kevon Looney","GSW","PF,C,SF","1.97","-1.03","-0.83","1.11","0.23","-0.16","1.15","0.04","2.49"
"145","Andrew Wiggins","MIN","SG,SF","-2.01","-0.60","1.17","0.34","0.42","1.28","0.43","1.43","2.46"
"146","Jonas Jerebko","GSW","SF,PF","0.20","0.51","0.75","0.90","0.19","-0.16","-0.16","0.21","2.44"
"147","Patty Mills","SAS","PG","-0.77","0.59","1.38","-0.08","0.80","0.32","-0.23","0.42","2.44"
"148","Wesley Matthews","DAL","SG,SF","-1.00","0.41","1.73","-0.22","0.31","0.68","-0.29","0.80","2.43"
"149","Tristan Thompson","CLE","PF,C","1.50","-1.29","-0.87","2.24","0.08","0.32","-0.03","0.40","2.35"
"150","DeAndre' Bembry","ATL","SF,PF","-0.77","-1.34","0.15","0.61","0.66","1.81","0.95","0.28","2.35"
"151","Jeff Teague","MIN","PG","-0.89","0.85","-0.10","-0.45","2.33","0.38","-0.03","0.17","2.27"
"152","Jonathan Isaac","ORL","PF,SF","-0.60","0.64","-0.06","0.52","-0.43","0.50","1.61","0.07","2.25"
"153","Terry Rozier","BOS","PG,SG","-1.58","0.01","1.10","0.48","0.82","1.04","0.03","0.35","2.25"
"154","Thomas Bryant","WAS","C","1.96","0.58","-0.66","0.47","-0.44","-0.39","0.69","-0.02","2.19"
"155","Davis Bertans","SAS","PF,C","0.43","0.46","1.45","0.10","-0.30","-0.16","0.10","0.09","2.17"
"156","Emmanuel Mudiay","NYK","PG","-0.25","-0.42","0.36","-0.03","1.16","0.44","0.03","0.86","2.16"
"157","Rodney McGruder","MIA","SG,SF","-0.70","0.11","1.20","0.52","0.45","0.38","-0.36","0.53","2.15"
"158","Iman Shumpert","SAC","SG,SF","-0.88","0.33","1.17","-0.11","0.12","1.34","-0.03","0.17","2.10"
"159","T.J. McConnell","PHI","PG","1.12","0.16","-0.62","-0.32","0.94","1.10","-0.16","-0.15","2.07"
"160","John Collins","ATL","PF,C","2.18","-0.70","-0.31","1.20","0.01","-0.87","-0.10","0.65","2.07"
"161","Zach Collins","POR","PF,C","0.34","0.40","-0.20","0.63","-0.30","-0.27","1.35","0.11","2.05"
"162","Bogdan Bogdanovic","SAC","SG,SF","-0.42","0.39","1.06","-0.12","0.68","0.20","-0.49","0.65","1.95"
"163","Justise Winslow","MIA","SF,PF,SG","-1.01","-0.84","0.57","0.64","1.15","1.10","-0.16","0.50","1.95"
"164","Collin Sexton","CLE","PG","-1.51","1.38","0.22","0.17","0.83","0.08","-0.56","1.33","1.94"
"165","Dorian Finney-Smith","DAL","SF,PF","-0.14","-0.61","0.54","0.61","-0.43","1.16","0.56","0.18","1.87"
"166","Patrick Beverley","LAC","PG,SG","-1.15","0.12","0.82","0.38","1.20","0.38","0.03","0.09","1.87"
"167","Kevin Huerter","ATL","SG","-0.83","-0.14","1.10","0.06","0.50","0.56","0.30","0.20","1.74"
"168","Mason Plumlee","DEN","PF,C","1.57","-3.38","-0.83","1.17","0.45","1.34","1.35","0.06","1.71"
"169","Tyler Johnson","MIA","PG,SG","-0.27","-0.52","0.89","-0.12","0.30","0.68","0.30","0.41","1.66"
"170","JaMychal Green","MEM","PF,C","0.65","0.11","-0.17","0.66","-0.51","0.32","0.49","0.06","1.62"
"171","Andre Iguodala","GSW","SG,SF","-0.01","-0.50","0.04","0.18","0.77","0.38","0.95","-0.28","1.54"
"172","Malik Beasley","DEN","PG,SG","-0.03","0.40","1.20","-0.06","-0.19","0.32","-0.49","0.37","1.53"
"173","Dwight Powell","DAL","PF,C","1.25","0.02","-0.52","0.43","-0.37","0.02","0.49","0.18","1.52"
"174","Evan Turner","POR","SG,SF","-0.03","-0.46","-0.73","0.79","1.51","0.20","0.03","0.16","1.49"
"175","Jabari Parker","CHI","SF,PF","-0.22","-0.42","0.08","1.01","0.22","0.02","-0.10","0.82","1.40"
